model_name,split,label,precision,recall,f1_score,support
logistic_regression,valid,negative,0.9,0.9260450160771704,0.9128367670364501,311.0
logistic_regression,valid,neutral,0.8617886178861789,0.8091603053435115,0.8346456692913385,131.0
logistic_regression,valid,positive,0.945619335347432,0.9427710843373494,0.9441930618401206,332.0
logistic_regression,valid,accuracy,,,0.91343669250646,
logistic_regression,valid,macro avg,0.902469317744537,0.8926588019193437,0.8972251660559699,774.0
logistic_regression,valid,weighted avg,0.9131006825302802,0.91343669250646,0.9130528601504152,774.0
logistic_regression,test,negative,0.8975903614457831,0.9581993569131833,0.926905132192846,311.0
logistic_regression,test,neutral,0.8062015503875969,0.7938931297709924,0.8,131.0
logistic_regression,test,positive,0.9840764331210191,0.9279279279279279,0.955177743431221,333.0
logistic_regression,test,accuracy,,,0.9174193548387096,
logistic_regression,test,macro avg,0.8959561149847998,0.8933401382040346,0.8940276252080223,775.0
logistic_regression,test,weighted avg,0.9193038164383395,0.9174193548387096,0.917602173773641,775.0
