candidate_id,model_family,fit_status,error_message,fit_time_sec,ngram_range,min_df,C,class_weight,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_confusion_matrix
logistic_regression_001,logistic_regression,ok,,0.22357177734375,"[1, 1]",1,0.5,,0.8552971576227391,0.8716086413677914,0.7844526285106553,0.8058001868573871,0.8462011381152142,"[[290, 3, 18], [44, 65, 22], [22, 3, 307]]"
logistic_regression_002,logistic_regression,ok,,0.2252521514892578,"[1, 1]",1,0.5,balanced,0.8591731266149871,0.8255850717126534,0.841906222371137,0.8315899812424142,0.8622473007637322,"[[275, 25, 11], [26, 101, 4], [15, 28, 289]]"
logistic_regression_003,logistic_regression,ok,,0.24333763122558594,"[1, 1]",1,1.0,,0.875968992248062,0.8768366687334274,0.8235567882092667,0.8413852089310804,0.8715699873423364,"[[289, 5, 17], [37, 80, 14], [17, 6, 309]]"
logistic_regression_004,logistic_regression,ok,,0.2067716121673584,"[1, 1]",1,1.0,balanced,0.8708010335917312,0.8411134568770037,0.8542945745328828,0.8464071599862967,0.872711996515744,"[[279, 21, 11], [23, 103, 5], [17, 23, 292]]"
logistic_regression_005,logistic_regression,ok,,0.26955509185791016,"[1, 1]",1,2.0,,0.8901808785529716,0.8882630195084582,0.8485333789935029,0.8634933341829893,0.8877072119721143,"[[290, 6, 15], [33, 89, 9], [16, 6, 310]]"
logistic_regression_006,logistic_regression,ok,,0.29920291900634766,"[1, 1]",1,2.0,balanced,0.8798449612403101,0.8505003822026787,0.8659442265761704,0.8568760949195732,0.8817623127911297,"[[279, 21, 11], [20, 106, 5], [14, 22, 296]]"
logistic_regression_007,logistic_regression,ok,,0.18766403198242188,"[1, 1]",2,0.5,,0.8552971576227391,0.8678744204805081,0.7829121153128259,0.8034816928577663,0.8457888370638946,"[[290, 4, 17], [45, 64, 22], [21, 3, 308]]"
logistic_regression_008,logistic_regression,ok,,0.21914958953857422,"[1, 1]",2,0.5,balanced,0.8565891472868217,0.822823692909931,0.8383576770447935,0.828560635938372,0.8595676716728005,"[[275, 25, 11], [26, 100, 5], [16, 28, 288]]"
logistic_regression_009,logistic_regression,ok,,0.22960972785949707,"[1, 1]",2,1.0,,0.8798449612403101,0.8825291410699933,0.8281771448968107,0.8464066505613245,0.8756459023721904,"[[290, 5, 16], [37, 81, 13], [17, 5, 310]]"
logistic_regression_010,logistic_regression,ok,,0.1983177661895752,"[1, 1]",2,1.0,balanced,0.8682170542635659,0.8366392200046097,0.8506782339095958,0.8421474024622326,0.8705079555779285,"[[278, 23, 10], [24, 102, 5], [16, 24, 292]]"
logistic_regression_011,logistic_regression,ok,,0.23017477989196777,"[1, 1]",2,2.0,,0.8901808785529716,0.8858690028677865,0.8470606610926167,0.8616400582451456,0.8874401680682813,"[[291, 5, 15], [33, 88, 10], [14, 8, 310]]"
logistic_regression_012,logistic_regression,ok,,0.25608253479003906,"[1, 1]",2,2.0,balanced,0.8746770025839793,0.844460427596322,0.8617925717252555,0.8514184338325014,0.8769200799358121,"[[277, 22, 12], [20, 106, 5], [14, 24, 294]]"
logistic_regression_013,logistic_regression,ok,,0.18516182899475098,"[1, 1]",3,0.5,,0.8540051679586563,0.8635271550318026,0.7818403039516255,0.8018754115448036,0.8445785121669788,"[[289, 5, 17], [45, 64, 22], [21, 3, 308]]"
logistic_regression_014,logistic_regression,ok,,0.22977209091186523,"[1, 1]",3,0.5,balanced,0.8578811369509044,0.8245302193919782,0.8408344110099365,0.8305267170212552,0.860965614047529,"[[274, 27, 10], [25, 101, 5], [17, 26, 289]]"
logistic_regression_015,logistic_regression,ok,,0.21569466590881348,"[1, 1]",3,1.0,,0.8772609819121447,0.8804134537793941,0.8246285995704672,0.843056856327329,0.8729011035215523,"[[290, 5, 16], [38, 80, 13], [18, 5, 309]]"
logistic_regression_016,logistic_regression,ok,,0.21173787117004395,"[1, 1]",3,1.0,balanced,0.8669250645994832,0.8344372681325057,0.849538627251452,0.8402816444707207,0.869545509426585,"[[276, 26, 9], [24, 102, 5], [16, 23, 293]]"
logistic_regression_017,logistic_regression,ok,,0.21773147583007812,"[1, 1]",3,2.0,,0.8888888888888888,0.8845219310603927,0.8445161318305302,0.8593849061726866,0.885933746561722,"[[291, 5, 15], [33, 87, 11], [14, 8, 310]]"
logistic_regression_018,logistic_regression,ok,,0.22857189178466797,"[1, 1]",3,2.0,balanced,0.872093023255814,0.8416848898716403,0.8595811537059111,0.8488329697681177,0.8744626538053462,"[[274, 25, 12], [20, 106, 5], [15, 22, 295]]"
logistic_regression_019,logistic_regression,ok,,1.2803738117218018,"[1, 2]",1,0.5,,0.8656330749354005,0.8938681487738541,0.789471525925996,0.8126712718549453,0.8551097541368068,"[[291, 2, 18], [48, 63, 20], [16, 0, 316]]"
