rank,score,doc_id,category,product_name,product_id,rating,predicted_sentiment,sentiment_confidence,comment,retrieval_text
1,0.8303491,rag_HealthBeauty_16155971227,HealthBeauty,Xeijayi 1pc 7.3ml Gel Sơn móng tay Ice Trong suốt mơ Sơn móng tay Gel phổ biến cho mùa đông Quà tặng Giáng sinh cho phụ nữ,24871965430,5,negative,0.7371978296628184,"[TB] CHÀO THÁNG MỚI VỚI COMBO QUÀ TẶNG 1 TRIỆU ĐỒNG TỪ MOMO Bạn đã liên kết ví MoMo và tài khoản ngân hàng chưa? Đừng bỏ qua hàng ngàn ưu đãi dành tặng riêng cho thuê bao iTel khi lần đầu mở ví MoMo và nhập mã ""ITELMOMO"": - Giảm đến 50.000đ khi nạp/mua thẻ điện thoại - Giảm đến 50% khi mua sắm trực tuyến qua các app như Grab/ GrabFood, app Lazada, Apple/Google hoặc Spotify - Giảm đến 150.000đ khi thanh toán các dịch vụ khác,... Khám phá ngay tại https://itel.vn/-/1229/Qua1trMoMo CSKH: Gọi 0877087087 (0đ cho TB iTel). Trân trọng!","Danh mục: HealthBeauty. Loại sản phẩm: DungCuPhuKienLamDep. Tên sản phẩm: Xeijayi 1pc 7.3ml Gel Sơn móng tay Ice Trong suốt mơ Sơn móng tay Gel phổ biến cho mùa đông Quà tặng Giáng sinh cho phụ nữ. Rating: 5. Nội dung đánh giá: [TB] CHÀO THÁNG MỚI VỚI COMBO QUÀ TẶNG 1 TRIỆU ĐỒNG TỪ MOMO Bạn đã liên kết ví MoMo và tài khoản ngân hàng chưa? Đừng bỏ qua hàng ngàn ưu đãi dành tặng riêng cho thuê bao iTel khi lần đầu mở ví MoMo và nhập mã ""ITELMOMO"": - Giảm đến 50.000đ khi nạp/mua thẻ điện thoại - Giảm đến 50% khi mua sắm trực tuyến qua các app như Grab/ GrabFood, app Lazada, Apple/Google hoặc Spotify - Giảm đến 150.000đ khi thanh toán các dịch vụ khác,... Khám phá ngay tại https://itel.vn/-/1229/Qua1trMoMo CSKH: Gọi 0877087087 (0đ cho TB iTel). Trân trọng!. Đánh giá chi tiết: product_quality: 5 seller_service: 5 delivery_service: 5."
2,0.8294147,rag_Fashion_12183625609,Fashion,"Giày sandal đúp nữ quai ngọc gót vuông 10cm, giày bít gót đế TPR cao cấp ZINZIN868",20379413337,1,negative,0.6477910883982979,"Lần đầu mua hàng tại shop mình đã có trải nghiệm thật sự rất khó chịu. Giao hàng rất nhanh tuy nhiên lần đầu mình mua trắng nhưng shop giao màu đen, 1 phần do mình đã có dự định về quần áo định mặc nên kh thể dùng luôn màu đen đc mình có nt cho shop để xem cách giải quyết ra sao thì mình nhắm tầm 4 tiếng sau mới được rep mặc dù thấy shop onl liên tục, mà trước khi được rep mình cũng phải gọi thẳng vào sdt shop và chắc là gặp đc anh chủ rồi sau đó mới có nv rep tn mình. Mình có bảo là shop giao lộn màu và sau đó hỏi shop cách giải quyết thì shop hỏi lại mình là có thể pass cho ng khác kh? Ủa tại sao mình mua hàng vì mình cần nó, mình kh nhận đc đúng hàng mình cần lại còn phải tự bỏ sức ra đi pass cho ng khác, nếu shop cho mình 1 lí do hợp lý hơn có lẻ mình cũng đã hỗ trợ pass giúp shop. Sau đó mình có bấm trả hàng cho shop cũng như đã nhận hoàn tiền và mình đặt lại đơn mới. Hôm nay mình nhận hàng đơn mới cũng trong tình trạng hộp méo mó, giày thì kh có 1 miếng mút giữ form nào, quai thì mỏng, keo kh chắc, gót giày cũng chẳng có tên hãng giống như những khách khác. TỆ!!!","Danh mục: Fashion. Loại sản phẩm: GiayDepNu. Tên sản phẩm: Giày sandal đúp nữ quai ngọc gót vuông 10cm, giày bít gót đế TPR cao cấp ZINZIN868. Rating: 1. Nội dung đánh giá: Lần đầu mua hàng tại shop mình đã có trải nghiệm thật sự rất khó chịu. Giao hàng rất nhanh tuy nhiên lần đầu mình mua trắng nhưng shop giao màu đen, 1 phần do mình đã có dự định về quần áo định mặc nên kh thể dùng luôn màu đen đc mình có nt cho shop để xem cách giải quyết ra sao thì mình nhắm tầm 4 tiếng sau mới được rep mặc dù thấy shop onl liên tục, mà trước khi được rep mình cũng phải gọi thẳng vào sdt shop và chắc là gặp đc anh chủ rồi sau đó mới có nv rep tn mình. Mình có bảo là shop giao lộn màu và sau đó hỏi shop cách giải quyết thì shop hỏi lại mình là có thể pass cho ng khác kh? Ủa tại sao mình mua hàng vì mình cần nó, mình kh nhận đc đúng hàng mình cần lại còn phải tự bỏ sức ra đi pass cho ng khác, nếu shop cho mình 1 lí do hợp lý hơn có lẻ mình cũng đã hỗ trợ pass giúp shop. Sau đó mình có bấm trả hàng cho shop cũng như đã nhận hoàn tiền và mình đặt lại đơn mới. Hôm nay mình nhận hàng đơn mới cũng trong tình trạng hộp méo mó, giày thì kh có 1 miếng mút giữ form nào, quai thì mỏng, keo kh chắc, gót giày cũng chẳng có tên hãng giống như những khách khác. TỆ!!!. Đánh giá chi tiết: product_quality: 1 seller_service: 1 delivery_service: 5."
3,0.82661986,rag_Electronic_12171819321,Electronic,REMOTE ĐIỀU KHIỂN TRUYỀN HÌNH FPT ĐẦU BOX FPT,1608660886,3,negative,0.929522721116184,"Shop giao sai hàng nhắn tin rất nhiều lần không trả lời , điện thoại 10 c không nghe máy. để shop giải quyết trước nhưng ko dc, phải bấm hoàn tiền trên shop Pi ,nhắn tin rất nhiều lần thì shop mới trả lời một câu “ok đã bấm hoàn tiền” Hết.,Trong khi sóc là người gửi sai hàng mà không nhắn được cho khách hàng một câu nào. dịch vụ chăm sóc khách hàng kém.","Danh mục: Electronic. Loại sản phẩm: ThietBiDienTu. Tên sản phẩm: REMOTE ĐIỀU KHIỂN TRUYỀN HÌNH FPT ĐẦU BOX FPT. Rating: 3. Nội dung đánh giá: Shop giao sai hàng nhắn tin rất nhiều lần không trả lời , điện thoại 10 c không nghe máy. để shop giải quyết trước nhưng ko dc, phải bấm hoàn tiền trên shop Pi ,nhắn tin rất nhiều lần thì shop mới trả lời một câu “ok đã bấm hoàn tiền” Hết.,Trong khi sóc là người gửi sai hàng mà không nhắn được cho khách hàng một câu nào. dịch vụ chăm sóc khách hàng kém.. Đánh giá chi tiết: product_quality: 3 seller_service: 5 delivery_service: 5."
4,0.8262241,rag_Fashion_14213030635,Fashion,[Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân,23057859488,5,negative,0.5541722868042178,Chất liệu:ok Đúng với mô tả:ok Màu sắc:ok In ảnh cho nó có thể là do mộtmột phần mềm khác thì cũng phải chi nó bảo ko phải có cái gì này thì có lẽ là do các bạn ấy có vẻ là mlà ngườngười mẫu ik học sinh lớp cô hà Hồ thì ai mà biết nó có cái lý do của họ là người ta có thể nói là có thể không phải là là một số người khác là thì,Danh mục: Fashion. Loại sản phẩm: ThoiTrangNu. Tên sản phẩm: [Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân. Rating: 5. Nội dung đánh giá: Chất liệu:ok Đúng với mô tả:ok Màu sắc:ok In ảnh cho nó có thể là do mộtmột phần mềm khác thì cũng phải chi nó bảo ko phải có cái gì này thì có lẽ là do các bạn ấy có vẻ là mlà ngườngười mẫu ik học sinh lớp cô hà Hồ thì ai mà biết nó có cái lý do của họ là người ta có thể nói là có thể không phải là là một số người khác là thì. Đánh giá chi tiết: product_quality: 5 seller_service: 5 delivery_service: 5 driver_service: 5.
5,0.82616156,rag_Fashion_13673763034,Fashion,[Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân,23057859488,5,negative,0.5191612089037954,"Chất liệu:vải nỉ Màu sắc:đen Đúng với mô tả:đún Trong nhóm mình ai bị lừa tiền qua mạng, nhắn tin cho em, em lừa thêm phát nữa","Danh mục: Fashion. Loại sản phẩm: ThoiTrangNu. Tên sản phẩm: [Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân. Rating: 5. Nội dung đánh giá: Chất liệu:vải nỉ Màu sắc:đen Đúng với mô tả:đún Trong nhóm mình ai bị lừa tiền qua mạng, nhắn tin cho em, em lừa thêm phát nữa. Đánh giá chi tiết: product_quality: 5 seller_service: 5 delivery_service: 5."
6,0.8259387,rag_Fashion_13382681637,Fashion,[Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân,23057859488,5,negative,0.4322697118398139,"Chất liệu:vải Màu sắc:trắng Đúng với mô tả:đúng Xinh lắm mấy pạnn mình còn tưởng k giao cơ tại mình đặt có 15🐟 thuii. Vải hơi mỏng nhưng 15k z là okee rùi mình 1m58 chùm mông chinh lắmm, t nghĩ 1m58 trở xuống mặc mới chùm mông đc ấy ạ tại mình mặc thấy cũng vừa chùm mông mình luôn ạ🫶💞 Shop nói chuyện dễ thưnn nhaa Nên mua m.n ạa🫰😍","Danh mục: Fashion. Loại sản phẩm: ThoiTrangNu. Tên sản phẩm: [Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân. Rating: 5. Nội dung đánh giá: Chất liệu:vải Màu sắc:trắng Đúng với mô tả:đúng Xinh lắm mấy pạnn mình còn tưởng k giao cơ tại mình đặt có 15🐟 thuii. Vải hơi mỏng nhưng 15k z là okee rùi mình 1m58 chùm mông chinh lắmm, t nghĩ 1m58 trở xuống mặc mới chùm mông đc ấy ạ tại mình mặc thấy cũng vừa chùm mông mình luôn ạ🫶💞 Shop nói chuyện dễ thưnn nhaa Nên mua m.n ạa🫰😍. Đánh giá chi tiết: product_quality: 5 seller_service: 5 delivery_service: 5."
7,0.825768,rag_Electronic_15741431389,Electronic,(MẪU MỚI - HOT) Camera Wifi thiết kế kiểu dáng Robot phi hành gia APP ICAM365 - Gọi thoại 2 chiều chỉ với 1 thao tác,17696902702,5,negative,0.685882784581444,Màu xinh mà hơi khó kết nối hôm mua tới giờ chưa kết nối dc luôn k biết lỗi ở đâu .m nghĩ mấy đồ này nên mua ngoài tiệm có ng tới nhà bảo hành vs lắp đặt chứ nói trên đt k giải quyết dc,Danh mục: Electronic. Loại sản phẩm: MayAnhMayQuayPhim. Tên sản phẩm: (MẪU MỚI - HOT) Camera Wifi thiết kế kiểu dáng Robot phi hành gia APP ICAM365 - Gọi thoại 2 chiều chỉ với 1 thao tác. Rating: 5. Nội dung đánh giá: Màu xinh mà hơi khó kết nối hôm mua tới giờ chưa kết nối dc luôn k biết lỗi ở đâu .m nghĩ mấy đồ này nên mua ngoài tiệm có ng tới nhà bảo hành vs lắp đặt chứ nói trên đt k giải quyết dc. Đánh giá chi tiết: product_quality: 5 seller_service: 3 delivery_service: 5 driver_service: 5.
8,0.8248525,rag_Fashion_13764220307,Fashion,[Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân,23057859488,5,negative,0.4854022570343062,"Màu sắc:sai Đúng với mô tả:đúng Chất liệu:vải hơi mỏng nha Tuy shop còn ship sai màu , mik đặt là màu trắng nhm ra màu đen. Vải mỏng nx nhg vs giá mik săn dc 40k v cx ngon r","Danh mục: Fashion. Loại sản phẩm: ThoiTrangNu. Tên sản phẩm: [Mã FATREND0911 giảm đến 30k tối đa 99k] Áo khoác bomber G toàn thân. Rating: 5. Nội dung đánh giá: Màu sắc:sai Đúng với mô tả:đúng Chất liệu:vải hơi mỏng nha Tuy shop còn ship sai màu , mik đặt là màu trắng nhm ra màu đen. Vải mỏng nx nhg vs giá mik săn dc 40k v cx ngon r. Đánh giá chi tiết: product_quality: 5 seller_service: 4 delivery_service: 5."
